Applicant_ID,Income,Debt,EMI_Ratio,Late_Payments,Employment,CreditScore,DTI_Ratio,Risk,LoanStatus
A0001,74123,4226,63,0,SelfEmployed,538,0.06,High,Rejected
A0002,73657,59958,16,0,SelfEmployed,384,0.81,High,Rejected
A0003,65590,53241,19,2,Salaried,307,0.81,High,Rejected
A0004,99533,65791,51,0,SelfEmployed,506,0.66,High,Rejected
A0005,72721,26242,50,3,Salaried,382,0.36,High,Rejected
A0006,40429,78701,11,3,Salaried,300,1.95,High,Rejected
A0007,94548,32932,69,1,SelfEmployed,511,0.35,High,Rejected
A0008,94131,8542,59,3,SelfEmployed,481,0.09,High,Rejected
A0009,50852,2464,20,4,SelfEmployed,300,0.05,High,Rejected
A0010,62401,19595,56,3,SelfEmployed,325,0.31,High,Rejected
A0011,56862,43346,70,2,SelfEmployed,300,0.76,High,Rejected
A0012,79272,15934,13,0,Salaried,557,0.2,High,Rejected
A0013,76358,53858,13,5,Salaried,300,0.71,High,Rejected
A0014,49997,64463,12,1,SelfEmployed,300,1.29,High,Rejected
A0015,93162,29688,17,1,SelfEmployed,512,0.32,High,Rejected
A0016,76457,33579,29,3,SelfEmployed,349,0.44,High,Rejected
A0017,64027,24221,48,3,Salaried,348,0.38,High,Rejected
A0018,40441,34156,20,3,SelfEmployed,300,0.84,High,Rejected
A0019,49930,51702,38,0,Salaried,300,1.04,High,Rejected
A0020,39546,27985,69,0,Salaried,316,0.71,High,Rejected
A0021,32340,49481,54,0,Salaried,300,1.53,High,Rejected
A0022,22955,44116,27,2,SelfEmployed,300,1.92,High,Rejected
A0023,27294,21527,67,4,Salaried,300,0.79,High,Rejected
A0024,43224,75648,18,4,Salaried,300,1.75,High,Rejected
A0025,78059,11922,60,2,SelfEmployed,452,0.15,High,Rejected
A0026,54005,45714,21,0,SelfEmployed,309,0.85,High,Rejected
A0027,57776,13370,15,5,Salaried,300,0.23,High,Rejected
A0028,81802,67101,17,2,SelfEmployed,332,0.82,High,Rejected
A0029,29085,55850,65,3,SelfEmployed,300,1.92,High,Rejected
A0030,93641,14321,31,0,SelfEmployed,587,0.15,High,Rejected
A0031,29067,46210,69,5,SelfEmployed,300,1.59,High,Rejected
A0032,57708,22428,53,2,Salaried,364,0.39,High,Rejected
A0033,35324,59238,69,4,SelfEmployed,300,1.68,High,Rejected
A0034,43666,871,38,4,Salaried,308,0.02,High,Rejected
A0035,61623,48783,18,2,SelfEmployed,300,0.79,High,Rejected
A0036,97787,30378,11,4,SelfEmployed,410,0.31,High,Rejected
A0037,27851,37312,15,1,Salaried,300,1.34,High,Rejected
A0038,66824,34902,15,0,Salaried,449,0.52,High,Rejected
A0039,52773,29572,19,2,Salaried,312,0.56,High,Rejected
A0040,54863,48800,45,5,Salaried,300,0.89,High,Rejected
A0041,71627,72857,67,3,Salaried,300,1.02,High,Rejected
A0042,43417,19354,67,1,SelfEmployed,312,0.45,High,Rejected
A0043,49544,67786,19,2,SelfEmployed,300,1.37,High,Rejected
A0044,95007,51402,61,5,Salaried,344,0.54,High,Rejected
A0045,83665,36810,45,0,SelfEmployed,494,0.44,High,Rejected
A0046,37316,78275,23,5,SelfEmployed,300,2.1,High,Rejected
A0047,49631,61741,40,1,SelfEmployed,300,1.24,High,Rejected
A0048,39718,71150,10,2,Salaried,300,1.79,High,Rejected
A0049,88205,14732,65,1,Salaried,555,0.17,High,Rejected
A0050,75097,73317,65,0,SelfEmployed,357,0.98,High,Rejected
A0051,30542,70881,31,3,SelfEmployed,300,2.32,High,Rejected
A0052,24806,29500,35,4,Salaried,300,1.19,High,Rejected
A0053,24452,22647,35,5,SelfEmployed,300,0.93,High,Rejected
